SiteCode,"Transect (N, E, S, or W)",Treatment (control OR removal),Distance from center (m),Species,Cover,Litter depth (cm),Notes,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.2,Soil,45,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.2,rock,25,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.2,Litter,7,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.2,Bromus tectorum,2,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.2,Collinsia parviflora,7,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.2,Lupinus sericeus,2,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.2,late successional biocrust,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.2,Poa sandbergii,2,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.4,Soil,40,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.4,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.4,Bromus tectorum,1,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.4,Collinsia parviflora,2,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.4,Lupinus sericeus,1,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.4,late successional biocrust,30,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.4,Poa sandbergii,2,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.4,Arenaria serpyllifolia,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.6,Soil,55,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.6,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.6,Bromus tectorum,7,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.6,Collinsia parviflora,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.6,late successional biocrust,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.6,Castilleja thompsonii,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.8,Soil,80,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.8,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.8,Bromus tectorum,2,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.8,Lupinus sericeus,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.8,late successional biocrust,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,4.8,Poa sandbergii,1,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.0,Soil,55,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.0,Litter,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.0,Bromus tectorum,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.0,Collinsia parviflora,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.0,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.0,Eriogonum heracleoides,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.0,late successional biocrust,7,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.0,Boechera retrofracta,1,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.2,Soil,50,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.2,Litter,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.2,Bromus tectorum,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.2,Poa bulbosa,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.2,late successional biocrust,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.2,Arenaria serpyllifolia,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.4,Soil,70,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.4,rock,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.4,Bromus tectorum,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.4,Collinsia parviflora,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.4,Arenaria serpyllifolia,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.6,Soil,35,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.6,rock,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.6,Litter,25,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.6,Bromus tectorum,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.6,Collinsia parviflora,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.6,Pseudoroegnaria spicata,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.6,late successional biocrust,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.8,Soil,70,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.8,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.8,Bromus tectorum,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.8,Collinsia parviflora,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,5.8,late successional biocrust,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.0,Soil,50,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.0,rock,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.0,Litter,25,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.0,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.0,Collinsia parviflora,2,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.0,Lupinus sericeus,1,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.0,late successional biocrust,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.0,Poa sandbergii,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.4,Soil,60,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.4,Litter,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.4,Collinsia parviflora,20,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.4,late successional biocrust,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.4,Castilleja thompsonii,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.6,Soil,55,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.6,Litter,20,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.6,Collinsia parviflora,20,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.6,late successional biocrust,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.6,Castilleja thompsonii,1,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.8,Soil,50,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.8,Litter,50,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.8,late successional biocrust,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,6.8,Poa sandbergii,1,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,7.0,Soil,50,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,7.0,Litter,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,7.0,Collinsia parviflora,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,N,removal,7.0,Eriogonum heracleoides,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.2,Soil,90,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.2,Litter,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.2,Bromus tectorum,2,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.2,Arenaria serpyllifolia,1,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.2,Castilleja thompsonii,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.4,Soil,50,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.4,rock,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.4,Litter,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.4,Bromus tectorum,25,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.4,late successional biocrust,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.6,Soil,70,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.6,Litter,25,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.6,Bromus tectorum,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.8,Soil,80,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.8,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.8,late successional biocrust,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,2.8,Castilleja thompsonii,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.0,Soil,70,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.0,Litter,25,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.0,Poa sandbergii,2,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.0,Sisymbrium altissimum,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.4,Soil,75,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.4,Litter,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.4,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.4,Lupinus sericeus,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.4,late successional biocrust,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.4,Castilleja thompsonii,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.6,Soil,60,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.6,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.6,Lupinus sericeus,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.6,Castilleja thompsonii,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.6,Arenaria serpyllifolia,7,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.8,Soil,50,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.8,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.8,Lupinus sericeus,1,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,3.8,late successional biocrust,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.0,Soil,70,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.0,Litter,20,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.0,late successional biocrust,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.0,Castilleja thompsonii,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.0,Arenaria serpyllifolia,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.2,Soil,35,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.2,Litter,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.2,Bromus tectorum,20,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.2,Castilleja thompsonii,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.4,Soil,95,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.4,Litter,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.6,Soil,90,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.6,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.8,Litter,97,1.5,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,4.8,Arenaria serpyllifolia,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.0,Soil,14,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.0,Litter,70,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.0,Eriogonum heracleoides,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.2,Soil,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.2,Litter,40,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.2,Bromus tectorum,2,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.2,Sisymbrium altissimum,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.2,Boechera retrofracta,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.2,Castilleja thompsonii,7,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.2,Arenaria serpyllifolia,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.4,Soil,30,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.4,Litter,40,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.4,Bromus tectorum,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.4,Eriogonum heracleoides,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.6,Bromus tectorum,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.6,Poa bulbosa,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.6,Arenaria serpyllifolia,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.8,Soil,50,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.8,rock,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.8,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,5.8,Arenaria serpyllifolia,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.0,Soil,50,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.0,rock,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.0,Litter,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.0,Poa bulbosa,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.0,Arenaria serpyllifolia,20,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.2,Soil,55,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.2,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.2,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.2,Poa bulbosa,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.2,Arenaria serpyllifolia,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.4,Soil,75,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.4,Litter,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.4,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.4,Lupinus sericeus,2,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.4,late successional biocrust,10,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.4,Arenaria serpyllifolia,1,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.6,Soil,50,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.6,rock,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.6,Litter,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.6,Bromus tectorum,2,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.6,Poa bulbosa,20,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.6,Arenaria serpyllifolia,15,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.8,Soil,55,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.8,Litter,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.8,Bromus tectorum,20,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.8,Arenaria serpyllifolia,5,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,6.8,Boechera retrofracta,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,7.0,Soil,50,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,7.0,Litter,30,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,7.0,Bromus tectorum,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,7.0,late successional biocrust,3,,,,,,,,,,,,,,,,,,,,
EnsingS2,W,removal,7.0,Castilleja thompsonii,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.2,Litter,85,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.2,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.2,Tragopogon dubius,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.2,Myosotis stricta,1,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.2,Arenaria serpyllifolia,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.2,Collinsia parviflora,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.4,Soil,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.4,Litter,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.4,Rock,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.4,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.4,Erodium cicutarium,35,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.4,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.4,Myosotis stricta,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.4,Arenaria serpyllifolia,2,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.4,Lithophragma parviflorum,2,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.6,Soil,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.6,Litter,45,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.6,Rock,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.6,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.6,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.6,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.6,Arenaria serpyllifolia,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.6,Collinsia parviflora,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.8,Soil,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.8,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.8,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.8,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,0.8,Arenaria serpyllifolia,55,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.2,Soil,35,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.2,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.2,Rock,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.2,Bromus tectorum,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.2,Microsteris gracilis,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.2,Myosotis stricta,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.2,Arenaria serpyllifolia,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.2,Alyssum alyssoides,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.4,Soil,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.4,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.4,Rock,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.4,Bromus tectorum,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.4,Microsteris gracilis,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.4,Myosotis stricta,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.4,Arenaria serpyllifolia,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.4,Poa sandbergii,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.6,Soil,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.6,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.6,Rock,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.6,Bromus tectorum,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.6,Tragopogon dubius,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,1.6,Arenaria serpyllifolia,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.0,Soil,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.0,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.0,Rock,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.0,Tragopogon dubius,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.0,Myosotis stricta,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.0,Arenaria serpyllifolia,25,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.0,Collinsia parviflora,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.2,Soil,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.2,Litter,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.2,Rock,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.2,Bromus tectorum,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.2,Microsteris gracilis,2,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.2,Myosotis stricta,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.2,Arenaria serpyllifolia,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.2,Collinsia parviflora,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.4,Soil,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.4,Litter,45,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.4,Rock,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.4,Bromus tectorum,2,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.4,Tragopogon dubius,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.4,Arenaria serpyllifolia,20,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.4,Poa sandbergii,2,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.6,Soil,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.6,Litter,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.6,Bromus tectorum,20,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.6,Tragopogon dubius,20,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.6,Arenaria serpyllifolia,25,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.8,Soil,2,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.8,Litter,40,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.8,Bromus tectorum,20,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.8,Tragopogon dubius,25,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,2.8,Arenaria serpyllifolia,20,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.2,Soil,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.2,Litter,2,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.2,Rock,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.2,Bromus tectorum,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.2,Erodium cicutarium,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.2,Microsteris gracilis,2,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.2,Arenaria serpyllifolia,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.2,Lappula occidentalis var occidentalis,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.2,Collinsia parviflora,2,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.6,Soil,30,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.6,Litter,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.6,Rock,2,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.6,Bromus tectorum,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.6,Erodium cicutarium,0,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.6,Arenaria serpyllifolia,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.8,Soil,2,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.8,Litter,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.8,Rock,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.8,Bromus tectorum,15,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.8,Erodium cicutarium,55,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.8,Myosotis stricta,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,3.8,Alyssum alyssoides,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.4,Soil,40,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.4,Litter,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.4,Rock,30,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.4,Erodium cicutarium,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.4,Arenaria serpyllifolia,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.6,Soil,35,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.6,Litter,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.6,Rock,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.6,Erodium cicutarium,35,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.6,Lithophragma parviflorum,10,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.6,Castilleja thompsonii,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.8,Soil,2,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.8,Litter,5,,,,,,,,,,,,,,,,,,,,
EnsingS4,E,control,4.8,Bromus tectorum,30,,,,,,,,,,,,,,,,,,,,
